Company Name,Ticker:,Primary Industry,Current Price,Price 1 Week Ago,Price 1 Month Ago,Change in Price (%) Week on Week,Change in Price (%) 1 Month Ago,Market Cap (M) Current,Number of Shares Current
Hyzon Motors Inc.,HYZN,N/A,0.550000011920929,0.5899999737739563,0.7770000100135803,-6.779654852722472,-29.214928592946077,134.882624,245152000
"Energy Vault Holdings, Inc.",NRGV,N/A,1.25,1.2300000190734863,1.7599999904632568,1.6260146842582102,-28.977272342428684,184.835008,147868000
Hyundai Motor Company,HYMTF,N/A,57.529998779296875,56.43000030517578,56.0,1.9493150242287018,2.732140677315848,43649.626112,525760000
Toyota Motor Corporation,TM,N/A,226.8300018310547,225.36000061035156,239.16000366210938,0.6522902097629844,-5.155545092094409,307917.160448,1347420032
Nikola Corporation,NKLA,N/A,0.6039999723434448,0.6000000238418579,0.949999988079071,0.6666580571072078,-36.42105474498466,819.132672,1356179968
Cummins Inc.,CMI,N/A,283.8699951171875,291.6099853515625,294.75,-2.6542267491436324,-3.691265439461408,38821.777408,136759008
Daimler Truck Holding AG,0AB9.L,N/A,42.310001373291016,41.95000076293945,46.09748840332031,0.858165920868358,-8.21625464036451,,0
Hyliion Holdings Corp.,HYLN,N/A,1.559999942779541,1.2200000286102295,1.5700000524520874,27.868844770161566,-0.6369496393919112,273.563136,175360992
Ballard Power Systems Inc.,BLDP,N/A,2.6600000858306885,2.4700000286102295,3.190000057220459,7.692309919824755,-16.614418867803252,796.369472,299387008
Plug Power Inc.,PLUG,N/A,2.299999952316284,2.380000114440918,3.1500000953674316,-3.361351188145909,-26.98413070847857,1601.188736,696169024
